nr;nume;prenume;sex;localitate;sediu
1;Sapta;Florian;m;Alba Iulia;P-ta Iuliu Maniu nr. 25 Alba Iulia
2;Baba;Teodor Nicolae;m;Alba Iulia;str. Camil Velican nr. 26, jud. Alba
3;Cherşa;Sebastian Bobi;m;Alba Iulia;str. Fr. Mistral nr. 5 (corp B, camera 1), judeţul Alba
4;Sav;Augustin;m;Câmpeni;str. Telului bl. L1, ap. 4, jud. Alba
5;Aldea;Marin Vasile;m;Aiud;str. Băilor nr. 33A jud. Alba
6;Sărăţean;Dumitru Alexandru;m;Blaj;Str Păcii nr. 40, jud. Alba
7;Boldas;Liviu Nicolae;m;Sebeş;str. L Blaga nr. 61, ap. 5, jud. Alba
8;Cârja;Ispas;m;Sibiu;Bd. Victoriei nr. 21, jud. Sibiu
9;Cruduleci;Horatiu;m;Sibiu;B-dul Victoriei nr. 14, ap. 9A, jud. Sibiu
10;Marin;Vasile;m;Sibiu;str. Banatului nr. 9, ap. 7, jud. Sibiu
11;Tatu;Felician Liviu;m;Sibiu;B-dul Victoriei nr. 21 Jud. Sibiu
12;Moldovan;Florin Gheorghe;m;Sibiu;B-dul Victoriei nr. 17, jud. Sibiu
13;Rotaru;Simion;m;Mediaş;str. Corneliu Coposu nr. 1, jud. Sibiu
14;Tudor;Vasile Petru;m;Mediaş;str. L Roth nr. 29, jud. Sibiu
15;Scutea;Sorin;m;Agnita;str. M. Viteazu nr. 73, jud. Sibiu
16;Veştemean;Ioan Stan;m;Avrig;str. Mihai Viteazu nr. 1, judeţul Sibiu
17;Nutescu;Constantin Ciprian;m;Sălişte;Str.P-ţa Junior nr. 39, jud. Sibiu
18;Baciu;Traian;m;Hunedoara;str. N. Bălcescu nr. 1, jud. Hunedoara
19;Ifrim;Remus Daniel;m;Hunedoara;str. N. Bălcescu nr. 1, cam. 23, et. 2,
20;Barboni;Eugen;m;Deva;str. Avram Iancu, bl. H3S sc. A, parter
21;Benteu;Aron;m;Deva;str. Aurel Vlaicu nr. 1
22;Opriş;Ofelia;f;Deva;str. Iuliu Maniu nr. 6, judeţul Hunedoara
23;Vrabie;Florin Constantin;m;Petroşani;str. 1 Decembrie 1918 nr. 100, parter
24;Popescu;Emilia;f;Petroşani;Aleea Poporului, bl. 3A, sc. 1, ap. 2
25;Oancea;Petru;m;Petroşani;Aleea Poporului, bl. 3, sc. 3, ap. 26
26;Rovinar;Marin Daniel;m;Brad;str. Minerilor nr. 5-7, jud. Hunedoara
27;Fieraru;Eugen;m;Piteşti;SUSPENDAT, B-dul Eroilor nr. 4-6, et.2, cam.4
28;Rada;Ion;m;Piteşti;str. Turda, bl. B 16, sc. C, ap. 4
29;Bucescu;Emanoil;m;Piteşti;Bd. Eroilor nr. 4-6 et. 1, cam. 1
30;Negoescu;Adrian Gheorghe;m;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
31;Ioana;Cristian;m;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
32;Copaci;Vasile;m;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
33;Mitu;Mihai-Ioan;m;Cîmpulung;str. Fraţii Goleşti nr. 14, bl. A 6a sc.B, ap. 1, parter
34;Iordache;Vasile;m;Curtea de Argeş;str T. Vladimirescu nr. 2, jud. Argeş
35;Vârgă;Ioan;m;Costeşti;Str. Pieţei bl L35, sc.A, parter, ap. 6
36;Răducă;Constantin;m;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N2, parter
37;Bunescu;Dumitru Teodor;m;Rm. Vâlcea;Str. Calea lui Traian nr. 116, bl. Anton Pann parter
38;Deaconu;Mihai;m;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, sc. C, parter
39;Buzatu;Constantin;m;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, sc. C, parter
40;Gătejescu;Bogdan;m;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, parter
41;Radu;Marius;m;Rm. Vâlcea;
42;Condoiu;Florea;dk;Drăgăşani;str. Gib Mihăescu nr. 19
43;Văleanu;Ilie;m;Horezu;Str. Unirii nr. 17, bl. O2, parter
44;Iordache;Ion;m;Topoloveni;Calea Bucureşti, bl.P4, sc. C, ap. 1
45;Grigore;Nicolae;m;Bacău;str. 9 Mai bl. 80
46;Chiticeanu;Florin;m;Bacău;str. Trotuş nr. 5
47;Ciobanu;Ioan;m;Bacău;str. Energiei bl. 37, sc. B, ap. 3
48;Dăscăliţa;Dumitru;m;Bacău;str. Nicu Enea, bl. 40, sc. A, ap. 7
49;Mititelu;Iosif;m;Bacău;str. Energiei, bl. 27-A, ap 2
50;Necula;Sorica;f;Bacău;
51;Aldea;Diana-Elena;f;Bacău;
52;Kovacs;Gabriel;m;Buhuşi;str. Bucegi nr. 1
53;Popa;Valentin;m;Oneşti;Bd. Republicii nr. 2, bl. 27 sc. B
54;Băjenaru;Dorin;m;Oneşti;Bd. Republicii bl. 2, sc. B
55;Prisecaru;Cezar Sorin;m;Oneşti; str. Avram Iancu bl. 2, sc. A, ap. 3
56;Bindileu;Eugen;m;Moineşti;str.V. Alecsandri bl. E 8, ap. 6
57;Neneci;Tănase;m;Piatra Neamţ;Bd. Republicii nr. 16
58;Cotoi;Cornel;m;Piatra Neamţ;str. M. Eminescu nr. 35, ap. 18
59;Mareş;Ioan;m;Piatra Neamţ;str. Anton Vorel nr. 6, bl. B6-A-21
60;Mocanu;Pavel;m;Piatra Neamţ;Bd. 9 Mai nr. 21, bl. 11-A-4
61;Bălan;Ioan;m;Piatra Neamţ;Str. Republicii nr. 7,
62;Postelnicu;Spiridon;m;Roman;str. Oituz, bl. 8, ap. 3
63;Mereuţă;Ioan;m;Roman;str. Sucedava, bl. 38, ap. 41
64;Dron;Gheorghe;m;Târgu Neamţ;str. C. Hogaş bl. B1, ap.3
65;Grigoraş;Ioan Nicolae;m;Podul Turcului;SUSPENDAT-la cerere
66;Puşcaş;Eugen Nicolae;m;Oradea;str. Parcul Traian nr. 7, ap. 6
67;Beiuşan;Gheorghe;m;Oradea;str. Franz Shubert. nr. 1
68;Bucureanu;Ioan;m;Oradea;str. Parcul Traian nr. 1, ap. 3
69;Negrău;Mihai;m;Oradea;str. Franz Schubert nr. 7
70;Popovici;Dorin;m;Oradea;str. Franz Schubert nr. 1
71;Pasca;Titu;m;Beiuş;str. 22 Decembrie nr. 21
72;Pasca;Rodica Lăcrămioara;f;Beiuş;
73;Serfezi;Florin;m;Marghita;Str. N. Bălcescu nr. 19, ap. 12
74;Danciu;Cozmin Gabriel;m;Negreşti Oaş;SUSPENDAT
75;Mihalcea;Benone;m;Negreşti-Oaş;Aleea Trandafirilor, bl. 14, ap. 3
76;Vasvari;Aurel;m;Satu Mare;str. Horea nr. 10, ap, 1
77;Michiş;Ioan;m;Satu Mare;str. Horia nr. 11
78;Iva;Aniţaş Dan;m;Satu Mare;str. Horea nr. 1, et. 3, ap.3
79;Danciu;Radu Gheorghe;m;Satu Mare;str. Horea, nr. 8, ap. 4
80;Lăzărescu;Nicolae Dorin;m;Satu Mare;str. Mihai Viteazu nr. 7, et. 1
81;Pop;Ioan Vasile;m;Carei;str. 1 Decembrie nr. 26, et. 1
82;Făiniţă;Gabriela;f;Salonta;FĂRĂ ACTIVITATE
83;Tătaru;Ioan;m;Suceava;str.Ştefan cel Mare nr.43, bl.E 3, sc.C, ap.1
84;Mustea;Marcel;m;Suceava;str.Ştefan cel Mare nr.51, bl.A 2, sc.A, ap.3
85;Jugaru;Constantin;m;Suceava;str.Ştefan cel Mare nr.43, bl.E 3, sc.D, ap.1
86;Ţugui;Cezar;m;Suceava;str.Ştefan cel Mare nr.43, bl.E 3, sc.D, ap.72
87;Belibou;Paula;f;Suceava;Str. Mihai Viteazu nr. 20, sc. B, ap. 10
88;Bordian;Constantin;m;Gura Humorului;Bd. Bucovinei nr. 21, jud Suceava
89;Miron;Cătălin;m;Rădăuţi;Piaţa Unirii nr. 70, jud. Suceava
90;Miron;Benoni-Viorel;m;Rădăuţi;Piaţa Unirii nr. 70, jud. Suceava
91;Onofreiciuc-Dranca;Gheorghe;m;Rădăuţi;Gheorghe
92;Stărică;Radu;m;Vatra  Dornei;str. Luceafărului nr. 18, jud. Suceava
93;Ioneac;Sevastian;m;Câmpuiung Mold.;str. T. Ştefanelli nr. 2, parter, cam. 16-17,
94;Hopu;Vasile;m;Fălticeni;str. Nicu Gane, F.N., jud. Suceava
95;Străchinariu;Dumitru;m;Botoşani;str. A. Marchian nr.68, bl. A 7, sc. A, ap.3
96;Manoilă;Vasile;m;Botoşani;Bd. M.Eminescu nr. 69
97;Sfaiţer;Carmen;f;Botoşani;Bd. M.Eminescu nr. 48, et. 1, cam. 45
98;Gavriliuc;Sorin;m;Botoşani;Bd. M.Eminescu nr. 48, et. 1, cam. 45
99;Secrieru;Dinu;m;Botoşani;B-dul G. Enescu nr. 5, bl. 5, sc. B, parter
100;Popa;Daniel;m;Dorohoi;str.Dimitrie Pompiliu nr.64, bl. Turn, parter
101;Smocot;Grigori;m;Dorohoi;str. N. Titulescu nr. 36
102;Guceanu;Adrian;m;Darabani;str. 1 Decembrie nr. 158, jud Botoşani
103;Cârlan;Florin;m;Săveni;str. 1 Decembrie bl, E 3, parter jud. Botoşani
104;Tereacă;Cornel Toma;m;Braşov;str. Iuliu Maniu nr. 68, bl. 3, sc. B, ap.1
105;Dincă;Stelian Emil;m;Braşov;Bd. 15 Noiembrie nr. 43, sc. A, et. 2, ap. 4
106;Koppandi;Ioan;m;Braşov;Bd. 15 Noiembrie nr. 43, sc. A, et. 2, ap. 5
107;Dutceac;Ioan;m;Braşov;Bd. Griviţei nr. 93, sc. C, ap. 1
108;Anca;Ramona Loredana;f;Braşov;str. Iuliu Maniu nr. 64, sc. A, ap. 5
109;Manolache;Marcel Iulian;m;Braşov;str. Iuliu Maniu nr. 47, et.5, cam. 505A
110;Blajiu;Gheorghe;m;Zămeşti;str. Postăvarului, bl. 11, sc. A, ap.3,
111;Frăţilă;Viorel Alexandru;m;Făgăraş;str. Doamna Stanca nr. 27, jud.Braşov
112;Manole;Victor;m;Făgăraş;str. I.M. Klein nr. 10, judeţul Braşov
113;Mathe-Peter;Iosif;m;Sfântu Gheorghe;str. Banki Donath nr. 35, jud. Covasna
114;Koncz;Csaba;m;Sfantu Gheorghe;str. Ioszef Bem nr.2, bl.3, sc.B, ap.3,
115;Kolcza;Jeno Gabor;m;Sfântu Gheorghe;str. Ciucului nr. 3, jud. Covasna
116;Balaş;Marius;m;Târgu Secuiesc;str. Petofi Sandor nr.33, bl.6, sc.A, ap.4
117;Manoli;Lucian;m;Intr. Buzăului;SUSPENDAT-la  cerere
118;Popescu;Sofica;f;Bucureşti;Bd. Tineretului nr.3, bl. Z 1, ap.5, parter, , sector 4
119;Popescu;Florin;m;Bucureşti;Bd. Tineretului nr.3, bl. Z 1, ap.5, parter, , sector 4
120;Dima;Mihai;m;Bucureşti;Bd. Mircea Vodă nr. 41, bl. M 31, sc.1, ap. 2,  , sector 3
121;Iordache;Radu;m;Bucuresti;str. Nerva Traian nr. 16, bl. M 35, sc. 2, ap. 31, sect. 3
122;Stăiculescu;Dumitru;m;Bucureşti;str. Malcoci nr. 24, bl. 39, sc. C, ap. 33, sector 5
123;Răileanu;Ionuţ Cătălin;m;Bucureşti;str. Clucerul Udricani nr. 1-3, bl.106A, sc.2, ap. 24, sector 3
124;Boambeş;Viorel;m;Bucureşti;str. Blănari nr. 14, et. 2, ap. 10
125;Badea;Cătălin;m;Bucureşti;str. Blănari nr. 14, et. 2, ap. 10
126;Casagranda-Stana;Anton;m;Bucureşti;Splaiul Unirii nr. 10, bl.B 5, sc. 1, et. 1, ap. 1, sect 4
127;Ezer;Lucian;m;Bucureşti;Bd. D. Cantemir nr. 25, bl. 2, sc. C, ap. 18, sect. 4
128;Popescu;Claudiu George;m;Bucureşti;Bd. D. Cantemir nr. 25, bl. 2, sc. C, ap. 18, sect. 4
129;Stănescu;Ilie;m;Bucureşti;Bd. Magheru nr.6-8, et.6, cam.34-35, sect. 1
130;Nemeş;Dan;m;Bucureşti;Bd. Magheru nr.6-8, et.6, cam.34-35, sect. 1
131;Vasiliu;George;m;Bucureşti;str. Cobălcescu nr. 54, sc. 1, et. 1,ap. 1, sect. 1
132;Dragănescu;George-Gabriel;m;Bucureşti;Bd. Brâncoveanu nr. 9, bl. B14, sc. 4,ap. 91, sect. 4
133;Ionescu;Niculae;m;Bucureşti;Bd. Brâncoveanu nr. 9, bl. B14, sc. 4,ap. 91, sect. 4
134;Crafcenco;Gheorghe Marius;m;Bucureşti;Bd. Brâncoveanu nr. 9, bl. B14, sc. 4,ap. 91 sect. 4
135;Tănase;Gheroghe;m;Bucureşti;P-ta  Nat. Unite nr.3-5, bl.A, sc.A,et. 2, ap. 15, sect. 4
136;Chiriloiu;Filoftia;f;Bucureşti;B-dul I.C. Brătianu nr. 44, sc. B, et. 3,ap. 24, sect. 3
137;Andrei;Ionel;m;Bucureşti;B-dul I.C. Brătianu nr. 44, sc. B, et. 3,ap. 24, sect. 3
138;Milos;Cristian;m;Bucureşti;str. Matei Basarab nr. 65, bl. L109, sc. 3,ap. 44, sect. 3
139;Jalbă;Georgina;f;Bucureşti;Cal. Victoriei nr. 142, sc. D, parter, ap. 1,sector 1
140;Gonţ;Dorina;f;Bucureşti;str. J.L.Calderon nr. 45, ap. 1, sector 2
141;Safta;Doina;f;Bucureşti;str. Gării de Nord nr. 6-8, bl. A, sc. 5,et. 1, ap. 8, sector 1
142;Scaeşteanu;Silvia;f;Bucureşti;B-dul Nat. Unite nr. 8, bl. 104, sc. 5, ap. 89et. 2, sect. 5
143;Dobranici;Doina Crenguţa;f;Bucureşti;B-dul Corneliu Coposu nr.7, bl. 104, sc. 3,et. 2, ap. 67, sect 3
144;Bran;Cristian;m;Bucureşti;str. Panduri nr. 35, bl. P1B, sc. A, et. 5,ap. 24, sect 5
145;Canea;Cătălin;m;Bucureşti;B-dul 1 Mai (fostă Compozitorilor) nr. 29,bl.C 9, sc. A, et. 1, ap. 8, sect. 6
146;Fediuc;Gheorghe Marian;m;Bucureşti;str. Poenaru Bordea nr. 12-14, et. 5, ap. 15,sect. 4
147;Plăveti;Nicolae Dorin;m;Bucureşti;B-dul Unirii, nr. 15, bl. 3, sc. 1, et. 2,ap. 6, sector 4
148;Parvan;Violeta;f;Bucureşti;Calea Călăraşilor (B-dul Corneliu Coposu, nr.5bl.103, sc. B, et. 2, ap. 54, sector 3
149;Olteanu;Nicolae Caius;m;Bucureşti;Suspendat la cerere
150;Şomâldoc;Paula Daniela;f;Bucureşti;B-dul Unirii, nr.37, bl.A4, ap.9, sector 3
151;Toma;Ana Maria;f;Bucureşti;str. Ilfov, nr.1, et.2, ap.3, sector 5
152;Ulman;Bogdan;m;Bucureşti;B-dul Carol I nr.76, ap.3, sector 2
153;Constantin;Gabriel;m;Bucureşti;str. Ţepeş Vodă, nr. 1-3, et.2, ap.3, sector 2
154;Giurgea;Bucur;m;Bucureşti;B-dul I.C. Brătianu, nr.44, sc.A, et.2, ap.18,sector 3
155;Maghiar;Bogdan;m;Bucureşti;Str.Pătraşcu Vodă, nr.1, et.1, ap.23, sector 3
156;Muşat;Mihaela Alina;f;Bucureşti;str. Băniei, nr. 17, parter, ap.2. sector 3
