nr;nume;prenume;sex;localitate;sediu
1;Sapta;Florian;m;Alba Iulia;Alba Iulia, piaţa Iuliu Maniu nr. 25, judeţul Alba
2;Ioaniciu-Sapta;Florina-Livia;f;Alba Iulia;Alba Iulia, piaţa Iuliu Maniu nr. 25, judeţul Alba, asociată cu Sapta
3;Baba;Teodor Nicolae;m;Alba Iulia;Alba Iulia, str. Camil Velican nr. 26, judeţul Alba
4;Cherşa;Sebastian Bobi;m;Alba Iulia;Alba Iulia, str. Fr. Mistral nr. 5, corp B, camera 1, judeţul Alba
5;Şchiopu;Florica;dk;Alba Iulia;suspendată
6;Vinersar;Maria Daniela;f;Alba Iulia;
7;Gligor-Lungan;Ştefan;m;Alba Iulia;
8;Sav;Augustin;m;Câmpeni;Câmpeni, Str. Teiului, bl. L1, ap. 4, judeţul Alba
9;Sitterli;Ovidiu-Cristian;m;Câmpeni;suspendat
10;Aldea;Marin-Vasile;m;Aiud;Aiud, Str. Băilor nr.33A, judeţul Alba
11;Frăţilă;Ioan-Florin;m;Aiud;Aiud, Str. Morii nr. 6, judeţul Alba
12;Sărăţean;Dumitru Alexandru;m;Blaj;suspendat
13;Boldaş;Liviu Nicolae;m;Sebeş;Sebeş, str. Lucian Blaga nr. 61, ap. 5, judeţul Alba
14;Uleşan;Daniela-Maria;f;Sebeş;Sebeş, str. Călăraşi nr. 2D, judeţul Alba
15;Cârja;Ispas;m;Sibiu;Sibiu, Bd. Victoriei nr. 21, judeţul Sibiu
16;Cruduleci;Horaţiu;m;Sibiu;Sibiu, Bd. Victoriei nr. 14, ap. 9A, judeţul Sibiu
17;Marin;Vasile;m;Sibiu;Sibiu, Str. Banatului nr. 9, ap. 7, judeţul Sibiu
18;Tatu;Felician Liviu;m;Sibiu;Sibiu, Bd. Victoriei nr. 21, judeţul Sibiu
19;Moldovan;Florin Gheorghe;m;Sibiu;Sibiu, Bd. Victoriei nr. 20, judeţul Sibiu
20;Nuţescu;Constantin Ciprian;m;Sibiu;Sibiu, Bd. Victoriei, nr. 17, parter, judeţul Sibiu
21;Cîrja;Maria-Iulia;f;Sibiu;Sibiu, str. Johann Sebastian Bach nr. 4, ap. 13, judeţul Sibiu
22;Cazan;Horea;m;Sibiu;
23;Dumitru;Marius Vasile;m;Sibiu;
24;Sântea;Cosmin Dan;m;Sibiu;
25;Văduva;Adrian;m;Sibiu;
26;Dinu;Mirela Nicoleta;f;Sibiu;
27;Herlea;Romulus Nicolae;m;Sibiu;
28;Grec;Cristina Elena;f;Sibiu;
29;Bandi;Oana Maria;f;Sibiu;
30;Constantin;Andrada Iuliana;f;Sibiu;
