nr;nume;prenume;sex;localitate;sediu
1;Scutea;Sorin;m;Agnita;Agnita, str. Mihai Viteazu nr. 73,
2;Suciu;Anca Maria;f;Agnita;suspendat
3;Aldea;Marin Vasile;m;Aiud;Aiud, Str. Băilor nr. 33a, judeţul Alba
4;Frăţilă;Ioan Florin;m;Aiud;Asociat în cadrul SCPEJ Frăţilă şi Partenerii în Bucureşti, piaţa Mihail Kogălniceanu nr. 1, sc. B, parter, ap. 1, sectorul 5
5;Baba;Teodor Nicolae;m;Alba Iulia;Alba Iulia, str. Regina Maria nr. 2,
6;Cherşa;Sebastian Bobi;m;Alba Iulia;Alba Iulia, str. Călăraşi nr. 19, judeţul
7;Gligor-Lungan;Ştefan;m;Alba Iulia;Alba Iulia, Str. Teilor nr. 4, ap. 5, judeţul
8;Sapta;Florina Livia;f;Alba Iulia;Asociat în cadrul SCPEJ Sapta & Sapta în Alba
9;Sapta;Florian;m;Alba Iulia;Asociat în cadrul SCPEJ Sapta & Sapta în Alba
10;Şchiopu;Florica;dk;Alba Iulia;suspendat
11;Vinersar;Maria Daniela;f;Alba Iulia;Alba Iulia, piaţa Iuliu Maniu, bl. 31 D,
12;Mişcoci;Dorina-Anca;f;Avrig;Asociat în cadrul SCPEJ Dumitru Marius Vasile, Mişcoci Dorina Anca şi Stoian Codruţa în Sibiu, Str. Justiţiei nr. 6A, judeţul Sibiu
13;Tatu;Anca;f;Avrig;Avrig, str. Gheorghe Lazăr nr. 2A, judeţul
14;Rotaru-Zărnescu;Daniel;m;Blaj;Asociat în cadrul BEJA Simion Rotaru şi
15;Sărăţean;Dumitru Alexandru;m;Blaj;suspendat
16;Bolog;Ileana Laura;f;Brad;suspendat
17;Boloş;Georgiana-Adina;f;Brad;Asociat în cadrul SCPEJ Boloş şi Partenerii
18;Sav;Augustin;m;Câmpeni;Câmpeni, Str. Teiului, bl. L1, ap. 4, judeţul
19;Sitterli;Ovidiu Ioan;m;Câmpeni;suspendat
20;Barboni;Eugen;m;Deva;Deva, str. Avram Iancu, bl. H3, sc. A,
21;Băieş;Maria Lucica;f;Deva;Deva, Piaţa Victoriei nr. 2, camera 307,
22;Benteu;Aron;m;Deva;Deva, str. Aurel Vlaicu nr. 1, judeţul
23;Ladariu;Anghel;m;Deva;Deva, str. Ciprian Porumbescu, bl. 19A,
24;Neamţu;Teodor;m;Deva;Deva, Piaţa Victoriei nr. 2, et. III, camera
25;Opriş;Ofelia Monica;f;Deva;Deva, str. Iuliu Maniu nr. 6, judeţul
26;Pupeză;Bogdan Mihai;m;Deva;Asociat în cadrul BEJA Pupeză Elena şi Pupeză
27;Pupeză;Elena;f;Deva;Asociat în cadrul BEJA Pupeză Elena şi Pupeză
28;Rovinar;Daniel Marin;m;Deva;Deva, str. Iuliu Maniu nr. 6, et. 3, judeţul
29;Radu;Cristiana;f;Haţeg;suspendat
30;Baciu;Traian;m;Hunedoara;Hunedoara, str. Nicolae Bălcescu nr. 1,
31;Creţu;Ionaşc Florin;m;Hunedoara;Hunedoara, Str. Revoluţiei nr. 3-complex
32;Ifrim;Remus;m;Hunedoara;Hunedoara, str. Nicolae Bălcescu nr. 1,
33;Plăviţu;Florina Mihaela;f;Hunedoara;Hunedoara, str. Ion Creangă nr. 3, bl. 3,
34;Rotaru;Simion;m;Mediaş;Asociat în cadrul BEJA Rotaru Simion şi
35;Tămaş;Ovidiu Nicolae;m;Mediaş;Asociat în cadrul SCPEJ Tămaş şi Suciu în
36;Tudor;Vasile Petru;m;Mediaş;Mediaş, str. Stephan Ludwig Roth nr. 29,
37;Romanesse;Diana-Elena;f;Orăştie;suspendat
38;Durbacă;Claudia Bianca;f;Petroşani;Petroşani, str. Anghel Saligny nr. 12,
39;Oancea;Petru;m;Petroşani;Petroşani, Aleea Poporului, bl. 3, sc. 3,
40;Petre;Adrian-Nicolae;m;Petroşani;Petroşani, str. Avram Iancu nr. 5, bl. 5A,
41;Popescu;Emilia;f;Petroşani;Petroşani, Aleea Poporului, bl. 3A, sc. I,
42;Răducanu;Cecilia Camelia;f;Petroşani;Petroşani, Str. 1 Decembrie 1918 nr. 100,
43;Stoian;Codruţa;f;Sălişte;Asociat în cadrul SCPEJ Dumitru Marius Vasile, Mişcoci Dorina Anca şi Stoian Codruţa în Sibiu, Str. Justiţiei nr. 6A, judeţul Sibiu
44;Suciu;Bogdan;m;Sălişte;Asociat în cadrul SCPEJ Tămaş şi Suciu în
45;Boldaş;Liviu Nicolae;m;Sebeş;Sebeş, str. Lucian Blaga nr. 61, ap. 5,
46;Uleşan;Daniela;f;Sebeş;Sebeş, str. Călăraşi nr. 2D, judeţul Alba
47;Bandi;Oana-Maria;f;Sibiu;Sibiu, Str. Crişanei nr. 9, judeţul Sibiu
