nr;nume;prenume;camera;localitate;sediu
1;Sapta;Florian;Alba Iulia;Alba Iulia;
2;Ioaniciu-Sapta;Florina-Livia;Alba Iulia;Alba Iulia;
3;Baba;Teodor Nicolae;Alba Iulia;Alba Iulia;
4;Cherşa;Sebastian Bobi;Alba Iulia;Alba Iulia;
5;Şchiopu;Florica;Alba Iulia;Alba Iulia;
6;Sav;Augustin;Alba Iulia;Câmpeni;
7;Sitterli;Ovidiu-Cristian;Alba Iulia;Câmpeni;
8;Aldea;Marin-Vasile;Alba Iulia;Aiud;
9;Frăţilă;Ioan-Florin;Alba Iulia;Aiud;
10;Sărăţean;Dumitru Alexandru;Alba Iulia;Blaj;
11;Boldaş;Liviu Nicolae;Alba Iulia;Sebeş;
12;Uleşan;Daniela-Maria;Alba Iulia;Sebeş;
13;Cârja;Ispas;Alba Iulia;Sibiu;
14;Cruduleci;Horaţiu;Alba Iulia;Sibiu;
15;Marin;Vasile;Alba Iulia;Sibiu;
16;Tatu;Felician Liviu;Alba Iulia;Sibiu;
17;Moldova;Florin Gheorghe;Alba Iulia;Sibiu;
18;Nuțescu;Constantin Ciprian;Alba Iulia;Sibiu;
19;Rotaru;Simion;Alba Iulia;Mediaş;
20;Tudor;Vasile Petru;Alba Iulia;Mediaş;
21;Tămaş;Ovidiu-Nicolae;Alba Iulia;Mediaş;
22;Rotaru-Zărnescu;Daniel;Alba Iulia;Blaj;
23;Scutea;Sorin;Alba Iulia;Agnita;
24;Suciu;Anca-Maria;Alba Iulia;Agnita;
25;Mişcoci;Dorina Anca;Alba Iulia;Avrig;
26;Veştemean;Ioan Stan;Alba Iulia;Avrig;
27;Baciu;Traian;Alba Iulia;Hunedoara;
28;Ifrim;Remus Daniel;Alba Iulia;Hunedoara;
29;Creţu;Ionaşc Florin;Alba Iulia;Hunedoara;
30;Barboni;Eugen;Alba Iulia;Deva;
31;Benteu;Aron;Alba Iulia;Deva;
32;Rovinar;Daniel;Alba Iulia;Deva;
33;Opriş;Ofelia-Monica;Alba Iulia;Deva;
34;Răducanu;Cecilia-Camelia;Alba Iulia;Petroşani;
35;Popescu;Emilia;Alba Iulia;Petroşani;
36;Oancea;Petru;Alba Iulia;Petroşani;
