nr;nume;prenume;camera;localitate;sediu
37;Petre;Adrian-Nicolae;Alba Iulia;Petroşani;
38;Durbacă;Claudia Bianca;Alba Iulia;Petroşani;
39;Suciu;Bogdan;Alba Iulia;Sălişte;
40;Stoian;Codruţa;Alba Iulia;Sălişte;
41;Radu;Cristiana;Alba Iulia;Haţeg;
42;Bolog;Ieana-Laura;Alba Iulia;Brad;
43;Romanesse;Diana-Elena;Alba Iulia;Orăştie;
44;Bucescu;Emanoil-Aron;Piteşti;Piteşti;
45;Copaci;Vasile-Dorel;Piteşti;Piteşti;
46;Fieraru;Eugen;Piteşti;Piteşti;
47;Ioana;Cristian;Piteşti;Piteşti;
48;Iordache;Ion;Piteşti;Piteşti;
49;Negoescu;Adrian-Gheorghe;Piteşti;Piteşti;
50;Vârgă;Ioan;Piteşti;Piteşti;
51;Predeanu;Adriana-Ramona;Piteşti;Piteşti;
52;Rada;Ion;Piteşti;Piteşti;
53;Mitu;Mihai-Ioan;Piteşti;Câmpulung;
54;Florea;Ioana;Piteşti;Câmpulung;
55;Iordache;Vasile;Piteşti;Argeş;
56;Bunescu;Dumitru Teodor;Piteşti;Râmnicu Vâlcea;
57;Buzatu;Constantin;Piteşti;Râmnicu Vâlcea;
58;Deaconu;Mihail;Piteşti;Râmnicu Vâlcea;
59;Gătejescu;Anca-Narghita;Piteşti;Râmnicu Vâlcea;
60;Gătejescu;Bogdan;Piteşti;Râmnicu Vâlcea;
61;Radu;Marius;Piteşti;Râmnicu Vâlcea;
62;Bălan;Ovidiu;Piteşti;Drăgăşani;
63;Prooroc;Olimpiu-Gabriel;Piteşti;Drăgăşani;
64;Văleanu;Ilie;Piteşti;Horezu;
65;Stănescu;Elis-Anamaria;Piteşti;Horezu;
66;Stănescu;Florin-Adrian;Piteşti;Costeşti;
67;Biciuşcă;Sorina;Piteşti;Topoloveni;
68;Mateescu;Emilia;Piteşti;Brezoi;
69;Petroiaca;Irina-Nicoleta;Bacău;Bacău;
70;Aldea;Diana-Elena;Bacău;Bacău;
71;Chiticeanu;Florin;Bacău;Bacău;
72;Ciobanu;Ioan;Bacău;Bacău;
73;Dăscăliţa;Dumitru;Bacău;Bacău;
74;Grigore;Nicolae;Bacău;Bacău;
75;Mititelu;Iosif;Bacău;Bacău;
76;Necula;Sorica;Bacău;Bacău;
77;Niagu;Liviu-Cosmin;Bacău;Bacău;
78;Kovacs;Gabriel;Bacău;Buhuşi;
79;Bâra;Dragoş;Bacău;Oneşti;
80;Popa;Valentin;Bacău;Oneşti;
81;Prisecariu;Cezar-Sorin;Bacău;Oneşti;
82;Tabarcea;Alexandru;Bacău;Oneşti;
83;Bâra;Jan;Bacău;Moineşti;
84;Niculae;Elena-Roxana;Bacău;Moineşti;
85;Bindileu;Eugen;Bacău;Moineşti;
86;Bălan;Ioan;Bacău;Piatra-Neamţ;
87;Cotoi;Cornel;Bacău;Piatra-Neamţ;
88;Mareş;Ioan;Bacău;Piatra-Neamţ;
89;Mocanu;Pavel;Bacău;Piatra-Neamţ;
90;Neneci;Tănase;Bacău;Piatra-Neamţ;
91;Grigoraş;Mihaela;Bacău;Roman;
92;Mereuţă;Ioan;Bacău;Roman;
93;Postelnicu;Spiridon;Bacău;Roman;
94;Dron;Gheorghe;Bacău;Târgu-Neamţ;
95;Vasiliu;Constantin;Bacău;Târgu-Neamţ;
96;Grigoraş;Ioan Nicolae;Bacău;Podu Turcului;
97;Păncescu;Nicolae-Daniel;Bacău;Podu Turcului;
98;Lavric;Paula;Bacău;Bicaz;
99;Trandabăţ;Maria;Bacău;Bicaz;
100;Beiuşan;Bogdan-Florin;Oradea;Oradea;
101;Beiuşan;Gheorghe;Oradea;Oradea;
102;Bucurean;Ioan-Călin;Oradea;Oradea;
103;Gârdan;Marius-Florin;Oradea;Oradea;
104;Negrău;Mihai;Oradea;Oradea;
105;Pantiș;Anamaria-Bianca;Oradea;Oradea;
106;Popovici;Dorin;Oradea;Oradea;
107;Puşcaş;Eugen-Nicolae;Oradea;Oradea;
108;Pașca;Rodica-Lăcrămioara;Oradea;Beiuş;
109;Serfezi;Florin;Oradea;Marghita;
110;Paşca;Ciprian-Narcis;Oradea;Marghita;
111;Mihalcea;Benone;Oradea;Negreşti-Oaş;
112;Michiş;Ioan;Oradea;Satu Mare;
113;Iva;Aniţaş Marian-Dan;Oradea;Satu Mare;
114;Kiss;Gabriel-Valentin;Oradea;Satu Mare;
115;Lăzărescu;Nicolae Dorin;Oradea;Satu Mare;
116;Mociran;Viorel;Oradea;Satu Mare;
117;Pop;Ioan Vasile;Oradea;Carei;
118;Popescu;Gilda;Oradea;Aleşd;
119;Beiuşan;Bogdan-Florin;Oradea;Salonta;
120;Făiniţă;Gabriela;Oradea;Salonta;
121;Şortan;Monica-Ioana;Oradea;Satu Mare;
122;Mutuligă;Radu-Mihai;Oradea;Carei;
123;Rădulescu;George-Cristian;Oradea;Negreşti-Oaş;
124;Belibou;Paula;Suceava;Suceava;
125;Cîmpulungeanu;Marius-Georgel-Sarmis;Suceava;Suceava;
126;Jugaru;Constantin;Suceava;Suceava;
127;Mustea;Marcel-Mihai;Suceava;Suceava;
128;Stărică;Radu;Suceava;Suceava;
129;Tătaru;Ioan;Suceava;Suceava;
130;Bordian;Constantin;Suceava;Gura Humorului;
131;Miron;Benoni-Viorel;Suceava;Rădăuţi;
132;Miron;Cătălin;Suceava;Rădăuţi;
133;Onofreiciuc-Dranca;Gheorghe;Suceava;Rădăuţi;
134;Nica;Gabriel;Suceava;Vatra Dornei;
135;Căruceriu;Alexandru;Suceava;Câmpulung;
136;Dumitraş;Ancuţa;Suceava;Fălticeni;
137;Hopu;Vasile;Suceava;Fălticeni;
138;Gavriliuc;Sorin;Suceava;Botoşani;
139;Manoilă;Vasile;Suceava;Botoşani;
140;Secrieru;Dinu;Suceava;Botoşani;
141;Secrieru;Paul;Suceava;Botoşani;
142;Sfaiţer;Carmen;Suceava;Botoşani;
143;Popa;Daniel;Suceava;Dorohoi;
144;Şmocot;Grigori;Suceava;Dorohoi;
145;Guceanu;Adrian;Suceava;Dărăbani;
146;Cârlan;Florin;Suceava;Săveni;
147;Bordian;Antonela-Mihaela;Suceava;Gura Humorului;
148;Tabarcea;Alexandru;Suceava;Botoşani;
149;Anca;Ramona-Loredana;Braşov;Braşov;
150;Balca;Florentina;Braşov;Braşov;
151;Corşate;Alexandru-Alin;Braşov;Braşov;
152;Dincă;Stelian Emil;Braşov;Braşov;
153;Dutceac;Ioan;Braşov;Braşov;
154;Koncz;Csaba jr.;Braşov;Braşov;
155;Koppandi;Ollyver;Braşov;Braşov;
156;Manolache;Marcel-Iulian;Braşov;Braşov;
157;Tereacă;Cornel-Toma;Braşov;Braşov;
158;Ţermure;Călin-Ovidiu;Braşov;Braşov;
159;Blajiu;Gheorghe;Braşov;Zărneşti;
160;Foca;Dan;Braşov;Zărneşti;
161;Frățilă;Viorel-Alexandru;Braşov;Făgăraş;
162;Manole;Victor;Braşov;Făgăraş;
163;Foca;Marilena;Braşov;Făgăraş;
164;Katona;Ella;Braşov;Sfântu;
165;Kolcza;Jeno-Gabor;Braşov;Gheorghe;
166;Koncz;Csaba;Braşov;Sfântu;
167;Mathe-Peter;Iosif;Braşov;Sfântu;
168;Bălaş;Marius;Braşov;Târgu Secuiesc;
169;Mathe-Peter;Edit;Braşov;Târgu Secuiesc;
170;Drăgulănescu;Natalia;Braşov;Întorsura Buzăului;
171;Ezer;Bogdan-Ştefan;Braşov;Rupea;
172;Andrei;Ionel;Bucureşti;Bucureşti;
173;Badea;Cătălin;Bucureşti;Bucureşti;
174;Boambeş;Viorel;Bucureşti;Bucureşti;
175;Bran;Cristian;Bucureşti;Bucureşti;
176;Canea;Cătălin;Bucureşti;Bucureşti;
177;Casagranda-Stana;Anton;Bucureşti;Bucureşti;
178;Chiriloiu;Filoftia;Bucureşti;Bucureşti;
179;Cojocaru;Bogdan-Mihai;Bucureşti;Bucureşti;
180;Constantin;Gabriel-Cătălin;Bucureşti;Bucureşti;
181;Costescu;Lucian;Bucureşti;Bucureşti;
182;Crafenco;Gheorghe-Marius;Bucureşti;Bucureşti;
183;Culcea;Raluca-Mariana;Bucureşti;Bucureşti;
184;Culea;Marian Orlando;Bucureşti;Bucureşti;
185;Dima;Mihai;Bucureşti;Bucureşti;
186;Dobranici;Doina-Crenguţa;Bucureşti;Bucureşti;
187;Drăgănescu;George-Gabriel;Bucureşti;Bucureşti;
188;Duică;Claudiu;Bucureşti;Bucureşti;
189;Dumitrache;Bogdan;Bucureşti;Bucureşti;
190;Ezer;Lucian;Bucureşti;Bucureşti;
191;Fediuc;Gheorghe Marian;Bucureşti;Bucureşti;
192;Frîncu;Marius-Claudiu;Bucureşti;Bucureşti;
193;Giurgea;Bucur;Bucureşti;Bucureşti;
194;Gonţ;Dorina;Bucureşti;Bucureşti;
195;Gonţ;Lucian;Bucureşti;Bucureşti;
196;Ionescu;Niculae;Bucureşti;Bucureşti;
197;Iordache;Radu;Bucureşti;Bucureşti;
198;Ivan;Traian-Daniel;Bucureşti;Bucureşti;
199;Jalbă;Georgiana;Bucureşti;Bucureşti;
200;Maghiar;Bogdan;Bucureşti;Bucureşti;
201;Moianu;Adrian;Bucureşti;Bucureşti;
202;Miloş;Cristian;Bucureşti;Bucureşti;
203;Mutuligă;Monica;Bucureşti;Bucureşti;
204;Nastasă;Alexandru;Bucureşti;Bucureşti;
205;Nemeş;Dan;Bucureşti;Bucureşti;
206;Olteanu;Nicolae-Caius;Bucureşti;Bucureşti;
207;Panait;Marian;Bucureşti;Bucureşti;
208;Paviliu;Bogdan-Adrian;Bucureşti;Bucureşti;
209;Pârvan;Violeta-Alexandra;Bucureşti;Bucureşti;
210;Petre;Cristian;Bucureşti;Bucureşti;
211;Plăveti;Nicolae-Dorin;Bucureşti;Bucureşti;
212;Popa;Carmen-Gabriela;Bucureşti;Bucureşti;
213;Popa;Elena-Laura;Bucureşti;Bucureşti;
214;Popescu;Claudiu-George;Bucureşti;Bucureşti;
215;Popescu;Florin;Bucureşti;Bucureşti;
216;Popescu;Sofica;Bucureşti;Bucureşti;
217;Raportoru;Georgeta;Bucureşti;Bucureşti;
218;Răileanu;Ionuț Cătălin;Bucureşti;Bucureşti;
219;Rocoşanu;Dragoş-Paul;Bucureşti;Bucureşti;
220;Safta;Doina;Bucureşti;Bucureşti;
221;Samoilă;Liliana Minodora;Bucureşti;Bucureşti;
222;Scăeşteanu;Silvia;Bucureşti;Bucureşti;
223;Sersea;Adrian-Eugen;Bucureşti;Bucureşti;
224;Stăiculescu;Dumitru;Bucureşti;Bucureşti;
225;Stănescu;Ilie;Bucureşti;Bucureşti;
226;Şomâldoc;Paula-Daniela;Bucureşti;Bucureşti;
227;Ştefan;Viorel-Dinu;Bucureşti;Bucureşti;
228;Tănase;Gheorghe;Bucureşti;Bucureşti;
229;Tanurca;Cristina;Bucureşti;Bucureşti;
230;Toma;Ana-Maria;Bucureşti;Bucureşti;
231;Ulman;Bogdan Vasile;Bucureşti;Bucureşti;
232;Vasiliu;George;Bucureşti;Bucureşti;
233;Balica;Marius Eugen;Bucureşti;Buftea;
234;Benescu;Cătălin;Bucureşti;Buftea;
235;Dobra;Camelia Ofelia;Bucureşti;Buftea;
236;Dobra;Narcis-Constantin;Bucureşti;Buftea;
237;Ichim;Viorel;Bucureşti;Buftea;
238;Voican;Mădălina;Bucureşti;Buftea;
239;Coşoreanu;Iulian-Ilie;Bucureşti;Cornetu;
240;Mihăilescu;Adriana Emanuela;Bucureşti;Cornetu;
241;Nistor;Vasile;Bucureşti;Zimnicea;
242;Roşu;Ileana;Bucureşti;Zimnicea;
243;Împungerouă;Nicolae;Bucureşti;Videle;
244;Niculae;George;Bucureşti;Videle;
245;Mihăiţă;Marian;Bucureşti;Alexandria;
246;Horovath;Sorin-Cornel;Bucureşti;Alexandria;
247;Zlătan;Gabriela-Simona;Bucureşti;Alexandria;
248;Niţu;Ion;Bucureşti;Slobozia;
249;Bănciu;Constantin;Bucureşti;Slobozia;
250;Milea;Anghel;Bucureşti;Slobozia;
251;Constantin;Radu;Bucureşti;Urziceni;
252;Vasiliu;Marinela;Bucureşti;Urziceni;
253;Bărbulescu;Constantin;Bucureşti;Bolintin-Vale;
254;Damian;Cătălina-Sofia;Bucureşti;Bolintin-Vale;
255;Petre;Dan;Bucureşti;Bolintin-Vale;
256;Iordache;Ion;Bucureşti;Giurgiu;
257;Iordache;Ramona-Lucia;Bucureşti;Giurgiu;
258;Martin;Constantin;Bucureşti;Giurgiu;
259;Gogoaşe-Popescu;Florinel-Bebe;Bucureşti;Giurgiu;
260;Tudor;Florentina;Bucureşti;Giurgiu;
261;Stoian;Valentin;Bucureşti;Călăraşi;
262;Şerban;Victor;Bucureşti;Călăraşi;
263;Mihalcea;Ionel;Bucureşti;Călăraşi;
264;Dumitrache;Cornelia-Gabriela;Bucureşti;Călăraşi;
265;Ene;Alexandru;Bucureşti;Olteniţa;
266;Păun;Octav-Lucian;Bucureşti;Olteniţa;
267;Oprişan;Constantin;Bucureşti;Lehliu-Gară;
268;Toma;Nina-Valentina;Bucureşti;Lehliu-Gară;
269;Miloş;Marius-Emil;Bucureşti;Turnu Măgurele;
270;Guţă;George-Alexandru;Bucureşti;Turnu Măgurele;
271;Agiu;Iulian;Bucureşti;Roşiori de;
272;Mahesz-Geczi;Oana-Viorica;Bucureşti;Vede;
273;Stănescu;Nicolae-Bogdan;Bucureşti;Feteşti;
274;Ciupercă;Dumitru-Virgil;Bucureşti;Feteşti;
275;Adam;Dragoş;Cluj-Napoca;Cluj-Napoca;
276;Boloş;Mircea;Cluj-Napoca;Cluj-Napoca;
277;Cîmpian;Mihai Radu;Cluj-Napoca;Cluj-Napoca;
278;Man;Ovidiu Ioan;Cluj-Napoca;Cluj-Napoca;
279;Mureşanu;Radu Alex;Cluj-Napoca;Cluj-Napoca;
280;Oszoczki;Andras;Cluj-Napoca;Cluj-Napoca;
281;Popa;Nicolae Fanfany;Cluj-Napoca;Cluj-Napoca;
282;Stolnean;Diana-Maria;Cluj-Napoca;Cluj-Napoca;
283;Stolnean;Romeo-Marius;Cluj-Napoca;Cluj-Napoca;
284;Şipoş;Alexandru;Cluj-Napoca;Cluj-Napoca;
285;Şortan;Ioan-Călin;Cluj-Napoca;Cluj-Napoca;
286;Marian;Daniel;Cluj-Napoca;Turda;
287;Miron-Boca-Moldovan;Andreea-Laura;Cluj-Napoca;Turda;
288;Todoruţ;Andrei;Cluj-Napoca;Dej;
289;Ioaniciu-Sapta;Florina-Livia;Cluj-Napoca;Dej;
290;Lungu;Răzvan;Cluj-Napoca;Gherla;
291;Miclea;Florina;Cluj-Napoca;Gherla;
292;Rus;Sergiu-Leon;Cluj-Napoca;Gherla;
293;Andronesi;Valerian Dorin;Cluj-Napoca;Bistriţa;
294;Ivanov;Emilian Giani;Cluj-Napoca;Bistriţa;
295;Joldeş;Ovidiu-Laurenţiu;Cluj-Napoca;Bistriţa;
296;Manchevici;Marin;Cluj-Napoca;Bistriţa;
297;Ilovan;Dumitru;Cluj-Napoca;Năsăud;
298;Sârbu;Viorel;Cluj-Napoca;Năsăud;
299;Buta;Dumitru Mirel;Cluj-Napoca;Beclean;
300;Mureşan;Vasile Mircea;Cluj-Napoca;Beclean;
301;Bud;Robert Mihai;Cluj-Napoca;Baia Mare;
302;Morari;Marius Iacob;Cluj-Napoca;Baia Mare;
303;Pintea;Bogdan-Ioan;Cluj-Napoca;Baia Mare;
304;Şimon;Attila;Cluj-Napoca;Baia Mare;
305;Vucea;Gheorghe;Cluj-Napoca;Baia Mare;
306;Coman;Gheorghe Gavril;Cluj-Napoca;Sighetu;
307;Roman;Mariana;Cluj-Napoca;Sighetu;
308;Batin;Petru;Cluj-Napoca;Sighetu;
309;Amișculesei;Radu Cătălin;Cluj-Napoca;Vişeu de Sus;
310;Aniţei;Dorel;Cluj-Napoca;Vişeu de Sus;
311;Kovacs;Levente Ferenc;Cluj-Napoca;Zalău;
312;Oszoczki;Marton;Cluj-Napoca;Zalău;
313;Ţurcaş;Ioan;Cluj-Napoca;Zalău;
314;Trif;Adrian-Cristian;Cluj-Napoca;Târgu Lăpuş;
315;Stoica;Ioan Alin;Cluj-Napoca;Târgu Lăpuş;
316;Andronesi;Daniela-Mariana;Cluj-Napoca;Silvaniei;
317;Paşca;Dorina-Ştefania;Cluj-Napoca;Şomcuta Mare;
318;Varadi-Goia;Andrea;Cluj-Napoca;Huedin;
319;Matiș;Camelia-Luminiţa;Cluj-Napoca;Dragomireşti;
320;Popan;Iosif-Nicolae;Cluj-Napoca;Jibou;
321;Stoica-Constantin;Adrian;Constanţa;Constanţa;
322;Stoica-Constantin;Gabriela-Simona;Constanţa;Constanţa;
323;Vasile;Dumitru-Gabriel;Constanţa;Constanţa;
324;Deacu;Vasile;Constanţa;Constanţa;
325;Gavrilescu;Alin;Constanţa;Constanţa;
326;Volintiru;Ştefan;Constanţa;Constanţa;
327;Oană;Silviu;Constanţa;Constanţa;
328;Munteanu;Ionel;Constanţa;Constanţa;
329;Bogdan;Ionică;Constanţa;Constanţa;
330;Duşu;Dumitru;Constanţa;Constanţa;
331;Negoiţă;Steluţa-Iuliana;Constanţa;Constanţa;
332;Vasiliu;Vicenţiu-Ionuţ;Constanţa;Constanţa;
333;Grasu;Gelu-Iulian;Constanţa;Mangalia;
334;Sarkis;Ionica;Constanţa;Mangalia;
335;Cristea;Nicolae;Constanţa;Mangalia;
336;Solomon;Nicolae;Constanţa;Medgidia;
337;Rusu;Cătălina;Constanţa;Medgidia;
338;Dumbravă;Dumitru;Constanţa;Tulcea;
339;Casapu;Cătălin-Octavian;Constanţa;Tulcea;
340;Vlad;Irinel;Constanţa;Tulcea;
341;Cornea;Pompiliu;Constanţa;Tulcea;
342;Lăzureanu;Valentina-Anda;Constanţa;Tulcea;
343;Banea;Alexandru;Constanţa;Măcin;
344;Vlad;Marieta;Constanţa;Măcin;
345;Dorache;Nicolae;Constanţa;Babadag;
346;Ivănescu;Liviu;Constanţa;Babadag;
347;Ştefan;Gigi-Valentin;Constanţa;Hârşova;
348;Ivanovici;Cistodor-Constantin;Craiova;Craiova;
349;Ivanovici;Dragoş-Theodor;Craiova;Craiova;
350;Iacob;Mircea;Craiova;Craiova;
351;Balaci;Titi;Craiova;Craiova;
352;Talpa;Neacşu Cristian;Craiova;Craiova;
353;Terpovici;Bogdan;Craiova;Craiova;
354;Lăpădat;Nicolae;Craiova;Craiova;
355;Crînguş;Florina;Craiova;Craiova;
356;Strinoiu;Constantin-Daniel;Craiova;Craiova;
357;Prodan;Apostol;Craiova;Calafat;
358;Ioțovici;Mihaela-Ramona;Craiova;Calafat;
359;Stan;Elena;Craiova;Calafat;
360;Olaru;Constantin;Craiova;Târgu Jiu;
361;Talianu;Savu;Craiova;Târgu Jiu;
362;Trancă;Nicuşor;Craiova;Târgu Jiu;
363;Enea;Marin;Craiova;Târgu Jiu;
364;Bârsăşteanu;Florian;Craiova;Târgu Jiu;
365;Dumitrescu;Ilona;Craiova;Orşova;
366;Gagiu;Nicolae;Craiova;Târgu Jiu;
367;Enea;M.Marin;Craiova;Târgu Jiu;
368;Nica;Ionuţ-Tudor;Craiova;Târgu Jiu;
369;Diaconiţa;Elena-Lavinia;Craiova;Târgu Jiu;
370;Vonica;Filimon;Craiova;Novaci;
371;Dăianu;Gheorghe;Craiova;Novaci;
372;Olaru;Dana;Craiova;Novaci;
373;Vlad;Constantin;Craiova;Slatina;
374;Păvăloiu;Georgeta;Craiova;Slatina;
375;Ţăpuşi;Ruxandra;Craiova;Slatina;
376;Moraru;Claudiu-Ionuţ;Craiova;Slatina;
377;Neda;Ion;Craiova;Caracal;
378;Rafailă;Vasile;Craiova;Caracal;
379;Dîrloagă;Florinel;Craiova;Strehaia;
380;Puşcă;Stelian;Craiova;Strehaia;
381;Cerbulescu;Constantin;Craiova;Severin;
382;Dumitrescu;Alfred-Constantin;Craiova;Drobeta-Turnu;
383;Guran;George-Cătălin;Craiova;Drobeta-Turnu;
384;Mădescu;Lionela;Craiova;Severin;
385;Popescu;Grigore-Alin;Craiova;Severin;
386;Purcaru;Marcel;Craiova;Severin;
387;Raicu;Ion;Craiova;Drobeta-Turnu;
388;Firu;Marilena-Ionela;Craiova;Drobeta-Turnu;
389;Mărăscu;Ion;Craiova;Vânju Mare;
390;Pătăşanu;Constantin;Craiova;Orşova;
391;Clement;Gheorghe;Craiova;Orşova;
392;Stan;Monica;Craiova;Balş;
393;Diaconiţa;Constantin;Craiova;Motru;
394;Tutunaru;Afrodita-Laura;Craiova;Motru;
395;Iovan;Cornel;Craiova;Băileşti;
396;Talianu;Eduard-Cristian;Craiova;Cărbuneşti;
397;Cătrinoiu;Matei-Cosmin;Craiova;Cărbuneşti;
398;Cîrţină;Corina-Elena;Craiova;Târgu;
399;Împungerouă;Doiniţa-Mihaela;Craiova;Corabia;
400;Tănasie;Neluţu;Craiova;Filiaşi;
401;Gulie;Rodica;Craiova;Corabia;
402;Drăgoi;Mihai;Craiova;Filiaşi;
403;Vlad;Laurenţiu;Craiova;Segarcea;
404;Cornescu;Adrian-Vasile;Craiova;Baia de Aramă;
405;Coţac;Dănuţ-Carmen;Galaţi;Galaţi;
406;Dajbog;Geanina;Galaţi;Galaţi;
407;Micu;Constantin;Galaţi;Galaţi;
408;Munteanu;Paraschiva Laura;Galaţi;Galaţi;
409;Postelnicu;Ştefan;Galaţi;Galaţi;
410;Tudorie;Ştefan;Galaţi;Galaţi;
411;Viţelaru;Dumitru;Galaţi;Galaţi;
412;Gabor;Robert;Galaţi;Tecuci;
413;Ţigănuş;Viorel-Mirel;Galaţi;Tecuci;
414;Badiu;Florin;Galaţi;Tecuci;
415;Ionescu;Claudia-Cristina;Galaţi;Panciu;
416;Crețu;Cirpian-Corneliu;Galaţi;Panciu;
417;Drăgulin;Eugen;Galaţi;Brăila;
418;;Lucian-Gabriel;Galaţi;Brăila;
419;Plăcintă;Adina-Maria;Galaţi;Brăila;
420;Postelnicu;Gabriela;Galaţi;Brăila;
421;Romarciuc;Cosmin-Iulian;Galaţi;Brăila;
422;Turcu;George;Galaţi;Brăila;
423;Motoc;Petrică;Galaţi;Însurăţei;
424;Bârsan;Firel;Galaţi;Focşani;
425;Bârsan;Vicuţa-Maria;Galaţi;Focşani;
426;Bercariu;Corneliu;Galaţi;Focşani;
427;Coman;Gelu;Galaţi;Focşani;
428;Teodorescu;Ioan-Cristian;Galaţi;Focşani;
429;Stelescu;Dana;Galaţi;Lieşti;
430;Mircea;Bogdan-Constantin;Galaţi;Adjud;
431;Chirică;Miştoi Costel;Galaţi;Târgu Bujor;
432;Ivan;Stela-Florentina;Galaţi;Făurei;
433;Giunca;Maria Cristina;Târgu Mureş;Târgu Mureş;
434;Hurubă;Eugen;Târgu Mureş;Târgu Mureş;
435;Pop;Ioan;Târgu Mureş;Târgu Mureş;
436;Puia;Romulus;Târgu Mureş;Târgu Mureş;
437;Szekely;Szabolcs Barna;Târgu Mureş;Târgu Mureş;
438;Vintilă;Marius-Andrei;Târgu Mureş;Târgu Mureş;
439;Kenosy;Adrian Zoltan;Târgu Mureş;Sighişoara;
440;Ursulescu;Floarea;Târgu Mureş;Sighişoara;
441;Corcescu;Horaţiu;Târgu Mureş;Târnăveni;
442;Roga;Sorin;Târgu Mureş;Reghin;
443;Olteanu;Radu;Târgu Mureş;Reghin;
444;Vlas;Maria-Cristina;Târgu Mureş;Luduş;
445;Sarig;Attila;Târgu Mureş;Miercurea-Ciuc;
446;Szilagyi;Erzsebet;Târgu Mureş;Miercurea-Ciuc;
447;Cotfas;Marin Cornel;Târgu Mureş;Topliţa;
448;Biro;Mihaiu;Târgu Mureş;Odorheiu;
449;Mihălcescu;Elvira-Mariana;Târgu Mureş;Odorheiu;
450;Peter;Istvan;Târgu Mureş;Gheorgheni;
451;Urs;Luciana-Victoria;Târgu Mureş;Reghin;
452;Dumitru;Mirela;Târgu Mureş;Târnăveni;
453;Airinei;Constantin;Iaşi;Iaşi;
454;Anchidin;Cornelia;Iaşi;Iaşi;
455;Andrei;Cezar;Iaşi;Iaşi;
456;Bîrcă;Gabriel;Iaşi;Iaşi;
457;Darie;Andreea;Iaşi;Iaşi;
458;Mereuţă;Lăcrămioara;Iaşi;Iaşi;
459;Plumbu;Sergiu-Sebastian;Iaşi;Iaşi;
460;Zabolotnăi;Vladimir;Iaşi;Iaşi;
461;Zacornea;Constantin;Iaşi;Iaşi;
462;Zacornea;Constantin-Ciprian;Iaşi;Iaşi;
463;Bujoreanu;George-Cristian;Iaşi;Bârlad;
464;Stan;Iulian-Marius;Iaşi;Bârlad;
465;Boboc;Mihai;Iaşi;Vaslui;
466;Stancu;Paulică;Iaşi;Vaslui;
467;Angheluţă;Lucian;Iaşi;Răducăneni;
468;Corbu;Vasile;Iaşi;Paşcani;
469;Lupu;Nicolăiţă Gheorghe Cristian;Iaşi;Paşcani;
470;Guţu;Adrian;Iaşi;Huşi;
471;Pipernea;Dan-Călin;Iaşi;Hârlău;
472;Sîrbu;Ciprian-Ioan;Iaşi;Răducăneni;
473;Tufeanu;Vasile-Bogdan;Iaşi;Huşi;
474;Trofin;Anca-Mihaela;Iaşi;Murgeni;
475;Rădulescu;Remus;Ploieşti;Ploieşti;
476;Matei;Sebastian;Ploieşti;Ploieşti;
477;Trifina;Elena-Cornelia;Ploieşti;Ploieşti;
478;Tănase;Laura-Ioana;Ploieşti;Ploieşti;
479;Divoiu;Maria;Ploieşti;Ploieşti;
