nr;nume;prenume;camera;localitate;sediu;
42;Bunescu;Dumitru Teodor;Piteşti;Râmnicu Vâlcea;Râmnicu Vâlcea, Bd. Tineretului nr. 7,bl. A11/1, sc. C, et. 5, ap. 23, judeţul Vâlcea;
43;Deaconu;Mihai;Piteşti;Râmnicu Vâlcea;Râmnicu Vâlcea, Bd. Tineretului nr. 14,bl. S2, sc. 1, ap. 13, judeţul Vâlcea;
44;Buzatu;Constantin;Piteşti;Râmnicu Vâlcea;Râmnicu Vâlcea, str. Marian Sorescu nr. 2,bl. A37/1, sc. A, ap. 1, judeţul Vâlcea;
45;Gătejescu;Bogdan;Piteşti;Râmnicu Vâlcea;Râmnicu Vâlcea, Al. Melodiei nr. 1, bl. P3,sc. A, ap. 1, judeţul Vâlcea;
46;Radu;Marius;Piteşti;Brezoi;Brezoi, Str. Eroilor nr. 41, judeţul Vâlcea;
47;Condoiu;Florea;Piteşti;Drăgăşani;Drăgăşani, str. Gib Mihăescu nr. 19,judeţul Vâlcea;
48;Văleanu;Ilie;Piteşti;Horezu;Horezu, Str. Unirii nr. 17, bl. O2,parter, judeţul Argeş;
49;Grigore;Nicolae;Bacău;Bacău;Bacău, Str. 9 Mai bl. 80, judeţul Bacău;
50;Chiticeanu;Florin;Bacău;Bacău;Bacău, str. Trotuş nr. 5, judeţul Bacău;
51;Ciobanu;Ioan;Bacău;Bacău;Bacău, Str. Energiei bl. 37, sc. B, ap. 3,judeţul Bacău;
52;Dăscăliţa;Dumitru;Bacău;Bacău;Bacău, str. Nicu Enea bl. 40, sc. A, ap. 7,judeţul Bacău;
53;Mititelu;Iosif;Bacău;Bacău;Bacău, Str. Energiei bl. 27A2,judeţul Bacău;
54;Necula;Sorica;Bacău;Bacău;SUSPENDATĂ;
55;Aldea;DianaElena;Bacău;Bacău;Bacău, str. Carpaţi nr. 1, sc. A, ap. 1,judeţul Bacău;
56;AbabeiPetrea;IrinaNicoleta;Bacău;Bacău;;
57;Kovacs;Gabriel;Bacău;Buhuşi;Buhuşi, str. Bucegi nr. 1, judeţul Bacău;
58;Popa;Valentin;Bacău;Oneşti;Oneşti, Bd. Republicii bl. 4, ap. 14,judeţul Bacău;
59;Băjenaru;Dorin;Bacău;Oneşti;Oneşti, Bd. Republicii bl. 2, sc. B,judeţul Bacău;
60;Prisecaru;Cezar Sorin;Bacău;Oneşti;Comăneşti, str. Avram Iancu bl. 2, sc. A,ap. 3, judeţul Bacău;
61;Bâra;Dragoş;Bacău;Oneşti;Oneşti, Str. Republicii bl. 23, ap. 12,judeţul Bacău;
62;Bindileu;Eugen;Bacău;Moineşti;Moineşti, str. V. Alecsandri bl. E 8,ap. 6,judeţul Bacău;
63;Tabarcea;Alexandru;Bacău;Moineşti;;
64;Neneci;Tănase;Bacău;PiatraNeamţ;PiatraNeamţ, Bd. Republicii nr. 16,judeţul Neamţ;
65;Cotoi;Cornel;Bacău;PiatraNeamţ;PiatraNeamţ, str. M. Eminescu nr. 35,ap. 18, judeţul Neamţ;
66;Mareş;Ioan;Bacău;PiatraNeamţ;PiatraNeamţ, str. Anton Vorel nr. 6,bl. B6A21, judeţul Neamţ;
67;Mocanu;Pavel;Bacău;PiatraNeamţ;PiatraNeamţ, Bd. 9 Mai nr. 21, bl. 11A4,judeţul Neamţ;
68;Bălan;Ioan;Bacău;PiatraNeamţ;PiatraNeamţ, Bd. Republicii nr. 7,judeţul Neamţ;
69;Postelnicu;Spiridon;Bacău;Roman;Roman, str. Oituz bl. 8, ap. 3,judeţul Neamţ;
70;Mereuţă;Ioan;Bacău;Roman;Roman, str. Sucedava bl. 38, ap. 41,judeţul Neamţ;
71;Grigoraş;Mihaela;Bacău;Roman;;
72;Dron;Gheorghe;Bacău;TârguNeamţ;TârguNeamţ, str. Calistrat Hogaş bl. B1,ap. 3, judeţul Neamţ;
73;Grigoraş;Ioan Nicolae;Bacău;Podul Turcului;SUSPENDAT;
74;Puşcaş;Eugen Nicolae;Oradea;Oradea;Oradea, str. Parcul Traian nr. 7, ap. 6,judeţul Bihor;
75;Beiuşan;Gheorghe;Oradea;Oradea;Oradea, str. Franz Shubert nr. 1,judeţul Bihor;
76;Bucurean;Ioan;Oradea;Oradea;Oradea, str. Parcul Traian nr. 1, ap. 3,judeţul Bihor;
77;Negrău;Mihai;Oradea;Oradea;Oradea, str. Franz Schubert nr. 7,judeţul Bihor;
78;Popovici;Dorin;Oradea;Oradea;Oradea, str. Franz Schubert nr. 1,judeţul Bihor;
79;Beiuşan;Andrei Gheorghe;Oradea;Oradea;Oradea, str. Franz Shubert nr. 1,judeţul Bihor;
80;Pantiş;AnamariaBianca;Oradea;Oradea;Oradea, str. G. Enescu nr. 6, judeţul Bihor;
81;Paşca;Titu;Oradea;Beiuş;Beiuş, Str. 22 Decembrie nr. 21,judeţul Bihor;
82;Paşca;Rodica Lăcrămioara;Oradea;Beiuş;Beiuş, Str. 22 Decembrie nr. 21,judeţul Bihor;
83;Serfezi;Florin;Oradea;Marghita;Marghita, str. N. Bălcescu nr. 19,judeţul Bihor;
84;Mihalcea;Benone;Oradea;NegreştiOaş;NegreştiOaş, Aleea Trandafirilor bl. 14,ap. 3, judeţul Satu Mare;
85;Vasvari;Aurel;Oradea;Satu Mare;Satu Mare, str. Horea nr. 10, ap. 1,judeţul Satu Mare;
86;Michiş;Ioan;Oradea;Satu Mare;Satu Mare, str. Horia nr. 11,judeţul Satu Mare;
87;Iva;Aniţaş Dan;Oradea;Satu Mare;Satu Mare, str. Horea nr. 1, ap. 3,judeţul Satu Mare;
88;Danciu;Radu Gheorghe;Oradea;Satu Mare;Satu Mare, str. Horea nr. 8, ap. 4,judeţul Satu Mare;
89;Lăzărescu;Nicolae Dorin;Oradea;Satu Mare;Satu Mare, str. Mihai Viteazu nr. 7, et. 1,judeţul Satu Mare;
90;Kiss;GabrielValentin;Oradea;Satu Mare;;
91;Mociran;Viorel;Oradea;Satu Mare;;
92;Pop;Ioan Vasile;Oradea;Carei;Carei, Str. 1 Decembrie nr. 26, et. 1,judeţul Satu Mare;
93;Făiniţă;Gabriela;Oradea;Salonta;FĂRĂ ACTIVITATE;
94;Tătaru;Ioan;Suceava;Suceava;Suceava, str. Ştefan cel Mare nr. 43,bl. E 3, sc. C, ap. 1, judeţul Suceava;
95;Mustea;Marcel;Suceava;Suceava;Suceava, str. Ştefan cel Mare nr. 51,bl. A 2, sc. A, ap. 3, judeţul Suceava;
96;Jugaru;Constantin;Suceava;Suceava;Suceava, str. Ştefan cel Mare nr. 43,bl. E 3, sc. D, ap. 1, judeţul Suceava;
97;Ţugui;Cezar;Suceava;Suceava;Suceava, str. Ştefan cel Mare nr. 43,bl. E 3, sc. D, ap. 2, judeţul Suceava;
98;Belibou;Paula;Suceava;Suceava;Suceava, str. Mihai Viteazu nr. 20, sc. B,ap. 10, judeţul Suceava;
