nr;nume;prenume;camera;localitate;sediu
1;Sapta;Florian;Alba Iulia;Alba Iulia;P-ta Iuliu Maniu nr. 25 Alba Iulia
2;Baba;Teodor Nicolae;Alba Iulia;Alba Iulia;str. Camil Velican nr. 26, jud. Alba
3;Cherşa;Sebastian Bobi;Alba Iulia;Alba Iulia;str. Fr. Mistral nr. 5 (corp B, camera 1), judeţul Alba
4;Sav;Augustin;Alba Iulia;Câmpeni;str. Telului bl. L1, ap. 4, jud. Alba
5;Aldea;Marin Vasile;Alba Iulia;Aiud;str. Băilor nr. 33A jud. Alba
6;Sărăţean;Dumitru Alexandru;Alba Iulia;Blaj;Str Păcii nr. 40, jud. Alba
7;Boldas;Liviu Nicolae;Alba Iulia;Sebeş;str. L Blaga nr. 61, ap. 5, jud. Alba
8;Cârja;Ispas;Alba Iulia;Sibiu;Bd. Victoriei nr. 21, jud. Sibiu
9;Cruduleci;Horatiu;Alba Iulia;Sibiu;B-dul Victoriei nr. 14, ap. 9A, jud. Sibiu
10;Marin;Vasile;Alba Iulia;Sibiu;str. Banatului nr. 9, ap. 7, jud. Sibiu
11;Tatu;Felician Liviu;Alba Iulia;Sibiu;B-dul Victoriei nr. 21 Jud. Sibiu
12;Moldovan;Florin Gheorghe;Alba Iulia;Sibiu;B-dul Victoriei nr. 17, jud. Sibiu
13;Rotaru;Simion;Alba Iulia;Mediaş;str. Corneliu Coposu nr. 1, jud. Sibiu
14;Tudor;Vasile Petru;Alba Iulia;Mediaş;str. L Roth nr. 29, jud. Sibiu
15;Scutea;Sorin;Alba Iulia;Agnita;str. M. Viteazu nr. 73, jud. Sibiu
16;Veştemean;Ioan Stan;Alba Iulia;Avrig;str. Mihai Viteazu nr. 1, judeţul Sibiu
17;Nutescu;Constantin Ciprian;Alba Iulia;Sălişte;Str.P-ţa Junior nr. 39, jud. Sibiu
18;Baciu;Traian;Alba Iulia;Hunedoara;str. N. Bălcescu nr. 1, jud. Hunedoara
19;Ifrim;Remus Daniel;Alba Iulia;Hunedoara;str. N. Bălcescu nr. 1, cam. 23, et. 2,
20;Barboni;Eugen;Alba Iulia;Deva;str. Avram Iancu, bl. H3S sc. A, parter
21;Benteu;Aron;Alba Iulia;Deva;str. Aurel Vlaicu nr. 1
22;Opriş;Ofelia;Alba Iulia;Deva;str. Iuliu Maniu nr. 6, judeţul Hunedoara
23;Vrabie;Florin Constantin;Alba Iulia;Petroşani;str. 1 Decembrie 1918 nr. 100, parter
24;Popescu;Emilia;Alba Iulia;Petroşani;Aleea Poporului, bl. 3A, sc. 1, ap. 2
25;Oancea;Petru;Alba Iulia;Petroşani;Aleea Poporului, bl. 3, sc. 3, ap. 26
26;Rovinar;Marin Daniel;Alba Iulia;Brad;str. Minerilor nr. 5-7, jud. Hunedoara
27;Fieraru;Eugen;Piteşti;Piteşti;SUSPENDAT, B-dul Eroilor nr. 4-6, et.2, cam.4
28;Rada;Ion;Piteşti;Piteşti;str. Turda, bl. B 16, sc. C, ap. 4
29;Bucescu;Emanoil;Piteşti;Piteşti;Bd. Eroilor nr. 4-6 et. 1, cam. 1
30;Negoescu;Adrian Gheorghe;Piteşti;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
31;Ioana;Cristian;Piteşti;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
32;Copaci;Vasile;Piteşti;Piteşti;B-dul Eroilor 4-6, et. 1, cam. 1
33;Mitu;Mihai-Ioan;Piteşti;Cîmpulung;str. Fraţii Goleşti nr. 14, bl. A 6a sc.B, ap. 1, parter
34;Iordache;Vasile;Piteşti;Curtea de Argeş;str T. Vladimirescu nr. 2, jud. Argeş
35;Vârgă;Ioan;Piteşti;Costeşti;Str. Pieţei bl L35, sc.A, parter, ap. 6
36;Răducă;Constantin;Piteşti;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N2, parter
37;Bunescu;Dumitru Teodor;Piteşti;Rm. Vâlcea;Str. Calea lui Traian nr. 116, bl. Anton Pann parter
38;Deaconu;Mihai;Piteşti;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, sc. C, parter
39;Buzatu;Constantin;Piteşti;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, sc. C, parter
40;Gătejescu;Bogdan;Piteşti;Rm. Vâlcea;Str. Calea lui Traian nr. 135, bl. N 2, parter
41;Radu;Marius;Piteşti;Rm. Vâlcea;
42;Condoiu;Florea;Piteşti;Drăgăşani;str. Gib Mihăescu nr. 19
43;Văleanu;Ilie;Piteşti;Horezu;Str. Unirii nr. 17, bl. O2, parter
44;Iordache;Ion;Piteşti;Topoloveni;Calea Bucureşti, bl.P4, sc. C, ap. 1
45;Grigore;Nicolae;Bacău;Bacău;str. 9 Mai bl. 80
46;Chiticeanu;Florin;Bacău;Bacău;str. Trotuş nr. 5
47;Ciobanu;Ioan;Bacău;Bacău;str. Energiei bl. 37, sc. B, ap. 3
48;Dăscăliţa;Dumitru;Bacău;Bacău;str. Nicu Enea, bl. 40, sc. A, ap. 7
49;Mititelu;Iosif;Bacău;Bacău;str. Energiei, bl. 27-A, ap 2
50;Necula;Sorica;Bacău;Bacău;
51;Aldea;Diana-Elena;Bacău;Bacău;
52;Kovacs;Gabriel;Bacău;Buhuşi;str. Bucegi nr. 1
53;Popa;Valentin;Bacău;Oneşti;Bd. Republicii nr. 2, bl. 27 sc. B
54;Băjenaru;Dorin;Bacău;Oneşti;Bd. Republicii bl. 2, sc. B
55;Prisecaru;Cezar Sorin;Bacău;Oneşti; str. Avram Iancu bl. 2, sc. A, ap. 3
56;Bindileu;Eugen;Bacău;Moineşti;str.V. Alecsandri bl. E 8, ap. 6
57;Neneci;Tănase;Bacău;Piatra Neamţ;Bd. Republicii nr. 16
58;Cotoi;Cornel;Bacău;Piatra Neamţ;str. M. Eminescu nr. 35, ap. 18
59;Mareş;Ioan;Bacău;Piatra Neamţ;str. Anton Vorel nr. 6, bl. B6-A-21
60;Mocanu;Pavel;Bacău;Piatra Neamţ;Bd. 9 Mai nr. 21, bl. 11-A-4
61;Bălan;Ioan;Bacău;Piatra Neamţ;Str. Republicii nr. 7,
62;Postelnicu;Spiridon;Bacău;Roman;str. Oituz, bl. 8, ap. 3
63;Mereuţă;Ioan;Bacău;Roman;str. Sucedava, bl. 38, ap. 41
64;Dron;Gheorghe;Bacău;Târgu Neamţ;str. C. Hogaş bl. B1, ap.3
65;Grigoraş;Ioan Nicolae;Bacău;Podul Turcului;SUSPENDAT-la cerere
66;Puşcaş;Eugen Nicolae;Oradea;Oradea;str. Parcul Traian nr. 7, ap. 6
67;Beiuşan;Gheorghe;Oradea;Oradea;str. Franz Shubert. nr. 1
68;Bucureanu;Ioan;Oradea;Oradea;str. Parcul Traian nr. 1, ap. 3
69;Negrău;Mihai;Oradea;Oradea;str. Franz Schubert nr. 7
70;Popovici;Dorin;Oradea;Oradea;str. Franz Schubert nr. 1
